Symbol,Name,Market Cap,Price,Circulating Supply,Cryptocurrency
ATMS,Atmos,"$2,242,091",$0.022358,100280470,coin
BIS,Bismuth,"$2,223,558",$0.455035,4886565,coin
CHC,ChainCoin,"$2,221,733",$0.139095,15972777,coin
CANN,CannabisCoin,"$2,176,946",$0.028187,77231176,coin
CREA,Creativecoin,"$2,176,477",$0.171372,12700306,coin
BTCZ,BitcoinZ,"$2,140,792",$0.004859,440600056,coin
PND,Pandacoin,"$2,137,879",$0.000066,32514916898,coin
QRK,Quark,"$2,072,469",$0.008230,251813885,coin
HUC,HunterCoin,"$2,060,436",$0.103020,20000350,coin
XMG,Magi,"$2,058,770",$0.272164,7564448,coin
START,Startcoin,"$2,048,317",$0.045438,45079785,coin
ONX,Onix,"$2,046,482",$0.074600,27432814,coin
CHIPS,CHIPS,"$2,009,866",$0.107909,18625566,coin
CBX,Crypto Bullion,"$1,941,423",$1.93,1004165,coin
ZOI,Zoin,"$1,929,913",$0.128493,15019600,coin
ZEPH,Zephyr,"$1,875,394",$0.014885,125990535,coin
ARC,ArcticCoin,"$1,847,040",$0.075263,24541247,coin
MAO,Mao Zedong,"$1,789,105",$0.287565,6221568,coin
ZENI,Zennies,"$1,726,792",$0.001725,1000812836,coin
BASH,LuckChain,"$1,643,385",$0.002301,714269773,coin
XIOS,Xios,"$1,601,216",$0.787589,2033061,coin
DOT,Dotcoin,"$1,600,689",$0.006079,263334500,coin
ESP,Espers,"$1,562,082",$0.000075,20764860184,coin
NKA,IncaKoin,"$1,549,864",$0.000141,10957901181,coin
LOG,Woodcoin,"$1,530,801",$0.190512,8035193,coin
PIRL,Pirl,"$1,493,413",$0.485551,3075708,coin
ADZ,Adzcoin,"$1,408,150",$0.032065,43915340,coin
ZNY,Bitzeny,"$1,395,753",$0.018459,75614500,coin
EBST,eBoost,"$1,393,248",$0.116104,12000000,coin
DFT,DraftCoin,"$1,295,875",$0.632351,2049298,coin
ANC,Anoncoin,"$1,283,944",$0.608413,2110317,coin
HYP,HyperStake,"$1,260,891",$0.001205,1046460905,coin
HNC,Helleniccoin,"$1,222,565",$0.019206,63654380,coin
BYC,Bytecent,"$1,201,623",$0.647308,1856338,coin
INFX,Influxcoin,"$1,170,960",$0.699756,1673383,coin
TZC,TrezarCoin,"$1,115,678",$0.014402,77466900,coin
LINDA,Linda,"$1,038,791",$0.000173,6003429666,coin
CCRB,CryptoCarbon,"$1,005,748",$0.282346,3562111,coin
HPC,Happycoin,"$988,901",$0.079254,12477555,coin
XFT,Footy Cash,"$974,893",$0.214720,4540299,coin
SUMO,Sumokoin,"$961,853",$0.453563,2120660,coin
FST,Fastcoin,"$955,624",$0.007584,126000000,coin
USNBT,NuBits,"$955,402",$0.994255,960923,coin
XMCC,MonacoCoin,"$943,220",$0.383858,2457211,coin
GRWI,Growers International,"$935,756",$0.863191,1084066,coin
LINX,Linx,"$913,631",$0.085325,10707600,coin
XCN,Cryptonite,"$896,848",$0.002442,367227854,coin
UNIFY,Unify,"$880,126",$0.049560,17758943,coin
BRIA,BriaCoin,"$851,011",$1.69,504685,coin
LDOGE,LiteDoge,"$837,136",$0.000056,14880299509,coin
WDC,WorldCoin,"$832,408",$0.007117,116962351,coin
MEC,Megacoin,"$811,456",$0.022422,36190187,coin
XHI,HiCoin,"$788,429",$0.004156,189729990,coin
BTA,Bata,"$777,968",$0.156141,4982468,coin
WHL,WhaleCoin,"$749,607",$0.246988,3034993,coin
SIGT,Signatum,"$748,971",$0.006937,107972766,coin
UFO,UFO Coin,"$748,335",$0.000216,3469752512,coin
USC,Ultimate Secure Cash,"$731,185",$0.070693,10343113,coin
SHORTY,Shorty,"$726,101",$0.007261,100000000,coin
KEK,KekCoin,"$723,588",$0.070022,10333718,coin
NETKO,Netko,"$720,856",$0.172519,4178415,coin
CPC,Capricoin,"$711,929",$0.357745,1990045,coin
UNB,UnbreakableCoin,"$704,249",$0.309132,2278150,coin
ZET,Zetacoin,"$682,154",$0.004086,166958073,coin
NET,NetCoin,"$679,309",$0.000863,787126712,coin
FNC,FinCoin,"$653,361",$0.050732,12878667,coin
SUPER,SuperCoin,"$648,082",$0.014353,45152457,coin
UIS,Unitus,"$642,496",$0.013733,46785866,coin
MOIN,Moin,"$638,640",$0.088139,7245821,coin
BRO,Bitradio,"$631,530",$0.108409,5825438,coin
FCN,Fantomcoin,"$623,029",$0.100648,6190179,coin
CDN,Canada eCoin,"$616,202",$0.006326,97415544,coin
INSN,InsaneCoin,"$591,091",$0.033538,17624245,coin
808,808Coin,"$589,947",$0.000648,910624824,coin
SPRTS,Sprouts,"$561,865",$5.5e-07,"1,01615E+12",coin
SMLY,SmileyCoin,"$532,042",$0.000020,25960250000,coin
XSH,SHIELD,"$508,091",$0.001122,452824168,coin
FJC,FujiCoin,"$501,136",$0.000427,1172421634,coin
CRM,Cream,"$486,456",$0.010877,44721735,coin
42,42-coin,"$478,036",$11381.80,41.999999,coin
DP,DigitalPrice,"$470,603",$0.027661,17013224,coin
ALTCOM,AltCommunity Coin,"$465,279",$4.70,98960,coin
VSX,Vsync,"$462,929",$0.004678,98964274,coin
PROC,ProCurrency,"$459,485",$0.035855,12815205,coin
DSH,Dashcoin,"$456,067",$0.025950,17574970,coin
ENT,Eternity,"$449,443",$0.110533,4066145,coin
XLR,Solaris,"$442,787",$0.812276,545118,coin
ZER,Zero,"$432,549",$0.227895,1898020,coin
ELLA,Ellaism,"$431,808",$0.230052,1877000,coin
LUX,LUXCoin,"$417,105",$1.46,285808,coin
DNR,Denarius,"$416,281",$0.229865,1810981,coin
GCN,GCoin,"$411,643",$0.000003,"1,46732E+11",coin
TYCHO,Tychocoin,"$408,165",$0.081237,5024368,coin
BLAS,BlakeStar,"$407,223",$0.001654,246246826,coin
COLX,ColossusXT,"$404,231",$0.000085,4741310215,coin
OHM,OHM,"$379,269",$0.012868,29472690,coin
ETHD,Ethereum Dark,"$365,178",$0.243452,1500000,coin
WOMEN,WomenCoin,"$345,161",$0.007805,44220400,coin
DEM,Deutsche eMark,"$344,438",$0.012393,27793416,coin
TRI,Triangles,"$339,864",$4.66,72891,coin
PAK,Pakcoin,"$338,932",$0.007791,43504800,coin
IFLT,InflationCoin,"$337,326",$0.000010,32317136372,coin
TRUMP,TrumpCoin,"$334,592",$0.051116,6545769,coin
EMB,EmberCoin,"$326,775",$0.000004,92190822724,coin
MNC,Mincoin,"$301,792",$0.076342,3953175,coin
SLG,Sterlingcoin,"$269,809",$0.064313,4195273,coin
ICN,iCoin,"$268,087",$0.009202,29133356,coin
POST,PostCoin,"$264,562",$0.016672,15868233,coin
SCORE,Scorecoin,"$263,682",$0.008689,30346591,coin
BUN,BunnyCoin,"$234,221",$0.000002,"1,02199E+11",coin
ECO,EcoCoin,"$228,676",$0.217109,1053276,coin
ATOM,Atomic Coin,"$225,119",$0.017592,12796510,coin
8BIT,8Bit,"$214,188",$0.183945,1164415,coin
LTB,LiteBar,"$209,013",$0.266696,783712,coin
EMP,EMoneyPower,"$203,655",$0.022136,9200000,coin
EL,Elcoin,"$203,389",$0.018145,11208967,coin
HODL,HOdlcoin,"$201,125",$0.001366,147243810,coin
CJ,Cryptojacks,"$200,824",$0.000494,406568581,coin
BBP,BiblePay,"$188,769",$0.000791,238704958,coin
KLC,KiloCoin,"$183,457",$0.000935,196297971,coin
CMPCO,CampusCoin,"$166,682",$0.000747,223234545,coin
DGC,Digitalcoin,"$158,056",$0.005825,27132389,coin
ECA,Electra,"$157,464",$0.000007,21536346998,coin
REE,ReeCoin,"$150,661",$0.000059,2560000000,coin
ZUR,Zurcoin,"$135,822",$0.001581,85917132,coin
XCXT,CoinonatX,"$128,600",$0.008740,14713795,coin
BTG,Bitgem,"$120,823",$2.07,58498,coin
PRC,PRCoin,"$120,405",$0.008124,14821400,coin
BSTY,GlobalBoost-Y,"$117,775",$0.009023,13053021,coin
FRN,Francs,"$117,589",$0.030408,3867080,coin
RUPX,Rupaya,"$115,324",$0.018977,6077186,coin
GTC,Global Tour Coin,"$111,729",$0.003738,29887402,coin
VUC,Virta Unique Coin,"$109,994",$0.001793,61329225,coin
AMMO,Ammo Rewards,"$106,239",$0.001366,77777777,coin
BCF,BitcoinFast,"$104,682",$0.024891,4205574,coin
YAC,Yacoin,"$103,122",$0.000863,119535306,coin
TEK,TEKcoin,"$101,980",$0.000072,1414054562,coin
XCO,X-Coin,"$88,093",$0.007113,12384976,coin
TSE,Tattoocoin,"$84,269",$0.000932,90421856,coin
CTIC2,Coimatic 2.0,"$81,311",$0.007505,10833750,coin
4CHN,ChanCoin,"$77,463",$0.011573,6693231,coin
XCS,CybCSec,"$75,718",$0.006398,11834082,coin
PASL,Pascal Lite,"$73,498",$0.018620,3947300,coin
611,SixEleven,"$73,468",$0.171396,428645,coin
DRS,Digital Rupees,"$73,444",$0.000144,510802961,coin
MSCN,Master Swiscoin,"$69,296",$0.001565,44290940,coin
KURT,Kurrent,"$62,767",$0.006328,9919485,coin
